district,locality,price_raw,price_num,area_raw,area_sqft,price_per_sqft,price_per_sqft_calc,cents,price_per_cent,location
calicut,Ayanikkad,₹24,2400000,6969,6969,,344.3822643,15.99862259,150012.9143,calicut_Ayanikkad
calicut,Kollam,₹35,3500000,20281,20281,,172.5753168,46.55876951,75173.808,calicut_Kollam
calicut,Mukkam,₹75,7500000,21778,21778,,344.384241,49.99540863,150013.7754,calicut_Mukkam
calicut,Chevayoor,₹1.62 Cr,16200000,7840,7840,,2066.326531,17.99816345,900091.8367,calicut_Chevayoor
calicut,Chevayoor,₹79.5,7950000,2178,2178,,3650.137741,5.0,1590000.0,calicut_Chevayoor
calicut,Cheekkilode,₹90,9000000,27007,27007,,333.246936,61.99954086,145162.3653,calicut_Cheekkilode
calicut,Ramanattukara,₹1.11 Cr,11100000,4617,4617,,2404.158545,10.59917355,1047251.462,calicut_Ramanattukara
calicut,Pantheerankavu,₹74.4,7440000,6969,6969,,1067.585019,15.99862259,465040.0344,calicut_Pantheerankavu
calicut,Malaparamba,₹5.85 Cr,58500000,19602,19602,,2984.389348,45.0,1300000.0,calicut_Malaparamba
calicut,Panangad,₹50,5000000,22651,22651,,220.7408061,51.99954086,96154.69516,calicut_Panangad
calicut,Vengeri,₹2.26 Cr,22600000,8929,8929,,2531.078508,20.49816345,1102537.798,calicut_Vengeri
calicut,Cheruvannur,₹80,8000000,10,10,,800000.0,0.022956841,348480000.0,calicut_Cheruvannur
calicut,Malaparamba,₹95,9500000,6098,6098,,1557.887832,13.99908173,678615.9397,calicut_Malaparamba
calicut,Kunnamangalam,₹4.05 Cr,40500000,11761,11761,,3443.584729,26.99954086,1500025.508,calicut_Kunnamangalam
calicut,Mananchira,₹50,5000000,762,762,,6561.67979,1.749311295,2858267.717,calicut_Mananchira
calicut,Malaparamba,₹91,9100000,6098,6098,,1492.292555,13.99908173,650042.6369,calicut_Malaparamba
calicut,East Nadakkavu,₹1.75 Cr,17500000,5662,5662,,3090.780643,12.99816345,1346344.048,calicut_East Nadakkavu
calicut,Purameri,₹30,3000000,6534,6534,,459.1368228,15.0,200000.0,calicut_Purameri
calicut,Thamarassery,₹1 Cr,10000000,8929,8929,,1119.946243,20.49816345,487848.5833,calicut_Thamarassery
calicut,Mukkam,₹1.35 Cr,13500000,39204,39204,,344.3526171,90.0,150000.0,calicut_Mukkam
calicut,Madavoor,₹4 Cr,40000000,8,8,,5000000.0,0.018365473,2178000000.0,calicut_Madavoor
calicut,Kunduparampa,₹2.88 Cr,28800000,31363,31363,,918.2795013,71.99954086,400002.5508,calicut_Kunduparampa
calicut,Kunnamangalam,₹8.13 Cr,81300000,141570,141570,,574.2742106,325.0,250153.8462,calicut_Kunnamangalam
calicut,Chevarambalam,₹75,7500000,2178,2178,,3443.526171,5.0,1500000.0,calicut_Chevarambalam
calicut,Kuruvattoor,₹39,3900000,6534,6534,,596.8778696,15.0,260000.0,calicut_Kuruvattoor
calicut,Paroppady,₹81,8100000,2831,2831,,2861.179795,6.499081726,1246329.919,calicut_Paroppady
calicut,Paroppady,₹60,6000000,2395,2395,,2505.219207,5.498163453,1091273.486,calicut_Paroppady
calicut,Jawahar Nagar,₹1.6 Cr,16000000,3484,3484,,4592.422503,7.998163453,2000459.242,calicut_Jawahar Nagar
calicut,Ashokapuram,₹99.75,9975000,2896,2896,,3444.406077,6.648301194,1500383.287,calicut_Ashokapuram
calicut,Engapuzha,₹1.44 Cr,14400000,54450,54450,,264.4628099,125.0,115200.0,calicut_Engapuzha
calicut,Kuthiravattom,₹4.32 Cr,43200000,10454,10454,,4132.389516,23.99908173,1800068.873,calicut_Kuthiravattom
calicut,Civil Station,₹1.4 Cr,14000000,3049,3049,,4591.6694,6.999540863,2000131.191,calicut_Civil Station
calicut,Chevarambalam,₹1.06 Cr,10600000,3563,3563,,2975.02105,8.179522498,1295919.169,calicut_Chevarambalam
